Date,Price,Open,High,Low
3-Mar-12,5359.40,5360.05,5369.60,5353.40
5-Mar-12,5280.35,5342.55,5344.50,5265.70
6-Mar-12,5222.40,5266.00,5382.05,5206.40
7-Mar-12,5220.45,5207.05,5243.85,5171.45
9-Mar-12,5333.55,5294.10,5342.30,5291.60
12-Mar-12,5359.55,5420.10,5421.90,5327.30
13-Mar-12,5429.50,5391.05,5438.65,5390.80
14-Mar-12,5463.90,5490.55,5499.40,5437.80
15-Mar-12,5380.50,5462.50,5462.50,5362.30
16-Mar-12,5317.90,5380.35,5445.65,5305.00
19-Mar-12,5257.05,5337.35,5340.70,5238.55
20-Mar-12,5274.85,5257.15,5297.35,5233.25
21-Mar-12,5364.95,5267.20,5372.35,5256.00
22-Mar-12,5228.45,5361.10,5385.95,5205.65
23-Mar-12,5278.20,5255.65,5312.00,5220.00
26-Mar-12,5184.25,5274.35,5274.95,5174.90
27-Mar-12,5243.15,5242.95,5277.95,5184.65
28-Mar-12,5194.75,5231.70,5236.55,5169.60
29-Mar-12,5178.85,5145.95,5194.30,5135.95
30-Mar-12,5295.55,5206.60,5307.10,5203.65
2-Apr-12,5317.90,5296.35,5331.55,5278.80
3-Apr-12,5358.50,5353.20,5378.75,5344.45
4-Apr-12,5322.90,5328.65,5338.40,5305.30
9-Apr-12,5234.40,5282.50,5287.90,5228.00
10-Apr-12,5243.60,5254.10,5255.80,5211.85
11-Apr-12,5226.85,5209.45,5263.65,5190.80
12-Apr-12,5276.85,5246.75,5290.60,5246.75
13-Apr-12,5207.45,5255.70,5306.75,5185.40
16-Apr-12,5226.20,5190.60,5233.50,5183.50
17-Apr-12,5289.70,5266.60,5298.20,5208.35
18-Apr-12,5300.00,5320.70,5342.00,5293.45
19-Apr-12,5332.40,5320.60,5342.45,5291.30
20-Apr-12,5290.85,5313.95,5336.15,5245.45
23-Apr-12,5200.60,5277.40,5310.55,5187.15
24-Apr-12,5222.65,5215.90,5232.35,5180.35
25-Apr-12,5202.00,5222.20,5236.10,5160.65
26-Apr-12,5189.00,5214.75,5215.60,5179.05
27-Apr-12,5190.60,5189.00,5223.05,5154.30
30-Apr-12,5248.15,5201.45,5262.15,5201.45
2-May-12,5239.15,5254.30,5279.60,5226.45
3-May-12,5188.40,5211.20,5217.30,5180.65
4-May-12,5086.85,5166.65,5177.20,5070.60
7-May-12,5114.15,5017.80,5124.75,4988.00
8-May-12,4999.95,5114.70,5119.95,4983.60
9-May-12,4974.80,4967.90,5016.25,4956.45
10-May-12,4965.70,4984.15,5039.30,4950.30
11-May-12,4928.90,4938.85,4976.25,4906.15
14-May-12,4907.80,4934.35,4957.20,4874.50
15-May-12,4942.80,4869.85,4955.20,4868.55
16-May-12,4858.25,4875.30,4882.25,4837.05
17-May-12,4870.20,4878.60,4922.25,4850.20
18-May-12,4891.45,4796.40,4908.50,4788.95
21-May-12,4906.05,4888.50,4937.50,4888.50
